ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Description,Engine_Stroke,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Make,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Network_ID,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Registration_Expiry,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Warranty_in_Months_from_First_Registration,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Release_Year,Seller
No,No,54.0,Reed_Valve,Carburettor,Engine,Multi_plate,black,12.0,Liquid,ITALY,1.0,Chain,121.0,Vertical,125,2.0,Piston,12.0,1_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Telescopic,120.0,14.0,Left_foot_lever,6.0,Manual,163.0,1100.0,CDI_(Capacitive_Discharge_Ignition),17500.0,2019-06-12,2019-07-19,Yes,1955.0,No,Aprilia,25.0,9985.0,20.0,10000.0,RS_125,SSE-AD-5669787,4558,2700,26.081707070707118,Single_Piston,Hydraulic,220.0,Hydraulic,44.5,91.0,01/07/2019,805.0,2.0,Forward,Standard,No,Electric,QLD,54.5,Maroochydore,Dual_Sided,28.0,No,97.0,https://www.bikesales.com.au/bikes/details/2010-aprilia-rs-125/SSE-AD-5669787/?Cr=0,2.0,24,137.0,Spoke,1345.0,720.0,2010,Private
No,No,54.0,Reed_Valve,Dellorto,Engine,Multi_plate,black,12.0,Liquid,ITALY,1.0,Chain,125.0,Vertical,125,2.0,Piston,12.0,1_into_1,2019-06-16,Aluminium,Double_Piston,Hydraulic,320.0,Telescopic,120.0,14.0,Left_foot_lever,6.0,Manual,163.0,1100.0,CDI_(Capacitive_Discharge_Ignition),17027.0,2019-05-16,2019-07-19,Yes,1955.0,No,Aprilia,25.0,9985.0,20.0,10000.0,RS_125,SSE-AD-5877511,2321,2999,26.081707070707118,Single_Piston,Hydraulic,220.0,Hydraulic,44.5,91.0,01/01/1970,805.0,2.0,Forward,Standard,No,Electric,NSW,54.5,Butterwick,Dual_Sided,28.0,No,97.0,https://www.bikesales.com.au/bikes/details/2007-aprilia-rs-125/SSE-AD-5877511/?Cr=1,2.0,24,137.0,Aluminium,1345.0,720.0,2007,Private
No,No,58.186,Reed_Valve,Dellorto,Engine,Multi_plate,black,12.0,Liquid,ITALY,1.0,Chain,117.0,Vertical,125,2.0,Piston,12.0,1_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Upside_Down,120.0,14.0,Left_foot_lever,6.0,Manual,163.0,1100.0,CDI_(Capacitive_Discharge_Ignition),30600.0,2019-04-25,2019-06-30,Yes,1955.0,No,Aprilia,12.0,9985.0,20.0,8816.0,RS_125,SSE-AD-5790589,2176,3200,26.081707070707118,Double_Piston,Disc,220.0,Hydraulic,120.0,91.0,01/01/2020,805.0,2.0,Forward,Yes,No,Electric,NSW,47.198,Prairiewood,Dual_Sided,28.0,No,97.0,https://www.bikesales.com.au/bikes/details/2005-aprilia-rs-125/SSE-AD-5790589/?Cr=2,4.0,24,143.0,Spoke,1307.0,720.0,2005,Private
No,No,54.0,Reed_Valve,Dellorto,Engine,Multi_plate,red,12.0,Liquid,ITALY,1.0,Chain,125.0,Vertical,125,2.0,Piston,12.0,1_into_1,2019-06-16,Aluminium,Double_Piston,Hydraulic,320.0,Telescopic,120.0,14.0,Left_foot_lever,6.0,Manual,163.0,1100.0,CDI_(Capacitive_Discharge_Ignition),8336.0,2019-07-19,2019-07-19,Yes,1955.0,No,Aprilia,25.0,9985.0,20.0,10000.0,RS_125,OAG-AD-17262142,0,4495,26.081707070707118,Single_Piston,Hydraulic,220.0,Hydraulic,44.5,91.0,01/12/2019,805.0,2.0,Forward,Standard,No,Electric,VIC,54.5,none,Dual_Sided,28.0,No,97.0,https://www.bikesales.com.au/bikes/details/2007-aprilia-rs-125/OAG-AD-17262142/?Cr=3,2.0,24,137.0,Aluminium,1345.0,720.0,2007,Dealer
No,No,54.0,Reed_Valve,Dellorto,Engine,Multi_plate,red,12.0,Liquid,ITALY,1.0,Chain,121.0,Vertical,125,2.0,Piston,12.0,1_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Upside_Down,120.0,14.0,Left_foot_lever,6.0,Manual,163.0,1100.0,CDI_(Capacitive_Discharge_Ignition),5060.0,2019-06-14,2019-07-19,Yes,1955.0,No,Aprilia,12.0,9985.0,20.0,8816.0,RS_125,SSE-AD-6141956,4510,6500,26.081707070707118,Double_Piston,Hydraulic,220.0,Hydraulic,44.5,95.0,01/09/2019,805.0,2.0,Forward,Standard,No,Electric,QLD,54.5,Caboolture,Dual_Sided,28.0,No,97.0,https://www.bikesales.com.au/bikes/details/2012-aprilia-rs-125/SSE-AD-6141956/?Cr=5,4.0,24,137.0,Spoke,1345.0,720.0,2012,Private
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,11.0,Liquid_&_Fan,ITALY,2.0,Chain,187.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Upside_Down,120.0,20.0,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,Digital_Electronic,53000.0,2019-05-07,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,110.0,10058.0,RSV1000_Mille,SSE-AD-5782513,4213,5500,26.081707070707118,Double_Piston,Disc,220.0,Shock,130.0,95.0,01/07/2019,825.0,2.0,Forward,Standard,No,Electric,QLD,67.5,Mudgeeraba,Dual_Sided,57.0,No,97.0,https://www.bikesales.com.au/bikes/details/2001-aprilia-rsv1000-mille/SSE-AD-5782513/?Cr=0,4.0,0,202.0,Spoke,1418.0,730.0,2001,Private
No,No,79.685,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid_&_Fan,ITALY,2.0,Chain,187.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,309.3540396881644,Hydraulic,120.0,17.7,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,CDI_(Capacitive_Discharge_Ignition),46000.0,2019-06-06,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000_Mille,SSE-AD-5450047,3763,6400,26.081707070707118,Single_Piston,Hydraulic,226.84255434782608,Hydraulic,130.0,95.0,01/07/2019,825.0,2.0,Forward,Standard,No,Electric,VIC,56.03,Kinglake,Dual_Sided,39.22858171346292,No,97.0,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000-mille/SSE-AD-5450047/?Cr=1,4.0,0,202.0,Spoke,1422.0,953.836,2000,Private
No,No,79.685,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,12.0,Liquid_&_Fan,ITALY,2.0,Chain,187.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,309.3540396881644,Hydraulic,120.0,17.7,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,CDI_(Capacitive_Discharge_Ignition),45300.0,2019-06-07,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000_Mille,SSE-AD-5895587,2060,7500,26.081707070707118,Single_Piston,Hydraulic,226.84255434782608,Hydraulic,130.0,95.0,01/02/2020,825.0,2.0,Forward,Standard,No,Electric,NSW,56.03,Lavender_bay,Dual_Sided,39.22858171346292,No,97.0,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000-mille/SSE-AD-5895587/?Cr=2,4.0,0,202.0,Spoke,1422.0,953.836,2000,Private
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,12.0,Liquid,ITALY,2.0,Chain,187.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,309.3540396881644,Upside_Down,120.0,17.7,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,CDI_(Capacitive_Discharge_Ignition),35695.0,2019-06-16,2019-07-19,No,2055.1309290474323,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000R,SSE-AD-5051516,6022,6500,26.081707070707118,Single_Piston,Hydraulic,226.84255434782608,Shock,130.0,95.0,01/10/2018,809.64,2.0,Forward,Standard,No,Electric,WA,67.5,Hamersley,Dual_Sided,57.0,No,97.0,https://www.bikesales.com.au/bikes/details/2005-aprilia-rsv1000r/SSE-AD-5051516/?Cr=0,4.0,0,202.0,Spoke,1416.0,953.836,2005,Private
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,2.0,Chain,187.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,309.3540396881644,Upside_Down,120.0,17.7,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,CDI_(Capacitive_Discharge_Ignition),29228.0,2019-06-02,2019-07-19,No,2055.1309290474323,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000R,SSE-AD-5679002,2234,6600,26.081707070707118,Single_Piston,Hydraulic,226.84255434782608,Shock,130.0,95.0,01/05/2019,809.64,2.0,Forward,Standard,No,Electric,NSW,67.5,Illawong,Dual_Sided,57.0,No,97.0,https://www.bikesales.com.au/bikes/details/2005-aprilia-rsv1000r/SSE-AD-5679002/?Cr=1,4.0,0,202.0,Spoke,1416.0,953.836,2005,Private
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,yellow,11.0,Liquid,ITALY,2.0,Chain,183.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Upside_Down,120.0,20.0,Hand_shift_lever,6.0,Manual,137.33805128205128,1145.0,Digital_Electronic,44044.0,2019-07-19,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000R_Mille,OAG-AD-16937303,0,7990,25.0,Double_Piston,Hydraulic,220.0,Shock,135.0,95.0,01/01/1970,825.0,2.0,Forward,Standard,No,Electric,NSW,67.5,none,Dual_Sided,57.0,No,102.0,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000r-mille/OAG-AD-16937303/?Cr=0,4.0,0,202.0,Spoke,1418.0,730.0,2000,Dealer
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,11.0,Liquid,ITALY,2.0,Chain,183.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Upside_Down,120.0,20.0,Hand_shift_lever,6.0,Manual,137.33805128205128,1145.0,Digital_Electronic,8620.0,2019-05-25,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000R_Mille,SSE-AD-3129115,4802,12900,25.0,Double_Piston,Hydraulic,220.0,Shock,135.0,95.0,01/07/2019,825.0,2.0,Forward,Standard,No,Electric,QLD,67.5,Airlie_beach,Dual_Sided,57.0,No,102.0,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000r-mille/SSE-AD-3129115/?Cr=1,4.0,0,202.0,Spoke,1418.0,730.0,2000,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,169.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Spring,120.0,17.7,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,CDI_(Capacitive_Discharge_Ignition),4100.0,2019-06-16,2019-07-19,No,2055.1309290474323,No,Aprilia,138.0,12014.0,120.0,10058.0,RSV4_Carbon_SE_APRC,SSE-AD-4807538,3156,50000,26.081707070707118,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/10/2019,845.0,2.0,Forward,Yes,No,Electric,VIC,52.3,Ferntree_gully,Dual_Sided,48.0,Standard,97.0,https://www.bikesales.com.au/bikes/details/2012-aprilia-rsv4-carbon-se-aprc-my13/SSE-AD-4807538/?Cr=1,4.0,0,202.0,Spoke,1422.0,722.586,2012,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,51000.0,2019-05-10,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,SSE-AD-4331151,3018,8200,24.5,Double_Piston,Hydraulic,220.0,Shock,130.0,91.0,01/04/2019,845.0,2.0,Forward,Standard,No,Electric,VIC,52.3,Altona,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2010-aprilia-rsv4-factory/SSE-AD-4331151/?Cr=0,4.0,24,205.0,Spoke,1420.0,735.0,2010,Private
