ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Seller,Brand,Remaining_Warranty,Remaining_Registration,Age,Live_Add,Sold,Engine_Size
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,179.0,V4,Piston,12.0,4_into_1,2019-07-01,Aluminium,Four_Piston,Hydraulic,320.0,Hydraulic,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,16500.0,2019-06-12,2019-07-12,No,2040.0,No,132.4,12250.0,120.0,10000.0,RSV4_,2290.0,12000,24.5,Double_Piston,Hydraulic,220.0,Hydraulic,130.0,95.0,845.0,2.0,Forward,Yes,No,Electric,NSW,52.3,Whitebridge,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2011-aprilia-rsv4-factory-aprc/SSE-AD-5980872/?Cr=0,4.0,202.0,Spoke,1420.0,735.0,Private,Aprilia,93,1,8,11.0,Sold,950
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,yellow,13.0,Liquid,ITALY,4.0,Chain,179.0,V4,Piston,12.0,4_into_1,2019-07-01,Aluminium,Four_Piston,Disc,320.0,Hydraulic,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,12000.0,2019-06-19,2019-07-12,No,2040.0,No,132.4,12250.0,120.0,10000.0,RSV4_,6110.0,13000,24.5,Double_Piston,Disc,220.0,Hydraulic,130.0,95.0,845.0,2.0,Forward,Yes,No,Electric,WA,52.3,Southern_river,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2012-aprilia-rsv4-factory-aprc/SSE-AD-6092488/?Cr=1,4.0,202.0,Spoke,1420.0,735.0,Private,Aprilia,81,0,7,11.0,Sold,950
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,Piston,12.0,4_into_1,2019-07-01,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,2500.0,2019-06-17,2019-09-08,No,2040.0,No,135.3,12250.0,120.0,10000.0,RSV4_,2037.0,13900,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,845.0,2.0,Forward,Standard,No,Electric,NSW,52.3,Glebe,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6070695/?Cr=0,4.0,202.0,Spoke,1443.0,720.385,Private,Aprilia,57,0,5,69.0,Sold,950
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,Piston,12.0,4_into_1,2019-07-01,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,14000.0,2019-06-27,2019-09-08,No,2040.0,No,135.3,12250.0,120.0,10000.0,RSV4_,2121.0,16500,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,845.0,2.0,Forward,Standard,No,Electric,NSW,52.3,Epping,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6013995/?Cr=3,4.0,202.0,Spoke,1443.0,720.385,Private,Aprilia,57,0,5,69.0,Sold,950
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,Piston,12.0,4_into_1,2019-07-01,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,4706.0,2019-06-13,2019-09-08,No,2040.0,No,135.3,12250.0,120.0,10000.0,RSV4_,5211.0,16800,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,845.0,2.0,Forward,Standard,No,Electric,SA,52.3,Encounter_bay,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6065536/?Cr=5,4.0,202.0,Spoke,1443.0,720.385,Private,Aprilia,57,0,5,69.0,Sold,950
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,Piston,12.0,4_into_1,2019-07-12,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,30000.0,2019-07-10,2019-08-30,No,2040.0,No,135.3,12250.0,120.0,10000.0,RSV4_,3199.0,14000,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,845.0,1.0,Forward,Standard,No,Electric,VIC,52.3,Frankston,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2013-aprilia-rsv4-factory-aprc-abs-my14/SSE-AD-5699958/?Cr=1,4.0,202.0,Spoke,1443.0,720.385,Private,Aprilia,69,0,6,49.0,Sold,950
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,Piston,12.0,4_into_1,2019-08-25,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,5500.0,2019-08-23,2019-09-08,No,2040.0,No,135.3,12250.0,120.0,10000.0,RSV4_,2000.0,16999,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,845.0,2.0,Forward,Standard,No,Electric,NSW,52.3,Sydney,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6251255/?Cr=6,4.0,202.0,Spoke,1443.0,720.385,Private,Aprilia,57,10,5,14.0,Sold,950
No,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,red,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,Piston,12.0,2_into_1,2019-07-12,Steel,Four_Piston,Hydraulic,320.0,Inverted,120.0,20.0,Left_foot_lever,6.0,Manual,120.0,1185.0,CDI_(Capacitive_Discharge_Ignition),42190.0,2019-06-03,2019-08-30,No,2080.0,No,130.0,10500.0,140.0,8000.0,ZX_12R,4211.0,4000,23.5,Single_Piston,Hydraulic,226.77625108475556,Other,130.0,95.0,808.4078372719101,2.0,Forward,Yes,No,Electric,QLD,55.4,Mount_nathan,Dual_Sided,46.0,No,93.0,https://www.bikesales.com.au/bikes/details/2000-kawasaki-zx-12r/SSE-AD-5961537/?Cr=0,4.0,226.0,Spoke,1502.0,725.0,Private,Kawasaki,0,0,19,49.0,Sold,1200
No,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,Piston,12.0,2_into_1,2019-07-12,Steel,Four_Piston,Hydraulic,320.0,Inverted,120.0,20.0,Left_foot_lever,6.0,Manual,120.0,1185.0,CDI_(Capacitive_Discharge_Ignition),45049.0,2019-06-20,2019-08-25,No,2080.0,No,130.0,10500.0,140.0,8000.0,ZX_12R,2615.0,5000,23.5,Single_Piston,Hydraulic,226.77625108475556,Other,130.0,95.0,808.4078372719101,2.0,Forward,Yes,No,Electric,ACT,55.4,Dunlop,Dual_Sided,46.0,No,93.0,https://www.bikesales.com.au/bikes/details/2006-kawasaki-zx-12r/SSE-AD-5710420/?Cr=1,4.0,226.0,Spoke,1502.0,725.0,Private,Kawasaki,0,0,13,44.0,Sold,1200
No,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,Piston,12.0,2_into_1,2019-07-12,Steel,Four_Piston,Hydraulic,320.0,Inverted,120.0,20.0,Left_foot_lever,6.0,Manual,120.0,1185.0,CDI_(Capacitive_Discharge_Ignition),29592.0,2019-07-04,2019-09-08,No,2080.0,No,130.0,10500.0,140.0,8000.0,ZX_12R,2158.0,5500,23.5,Single_Piston,Hydraulic,226.77625108475556,Other,130.0,95.0,808.4078372719101,2.0,Forward,Yes,No,Electric,NSW,55.4,Dural,Dual_Sided,46.0,No,93.0,https://www.bikesales.com.au/bikes/details/2002-kawasaki-zx-12r/SSE-AD-6163775/?Cr=2,4.0,226.0,Spoke,1502.0,725.0,Private,Kawasaki,0,0,17,58.0,Sold,1200
