Bore,Compression_Ratio,Cylinders,Engine_Stroke,Engine_Voltage,Front_Brake_Diameter,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Number,Ground_Clearance,Height,Kilometers,Length,Maximum_Power,Maximum_Power_RPM,Price,Rake_(Caster_Angle),Rear_Brake_Diameter,Rear_Suspension_Travel,Recommended_RON,Seating_Capacity,Stroke,Throttle_Bore,Trail,Valves_Per_Cylinder,Wet_Operational_Weight,Wheelbase,Width,Remaining_Warranty,Remaining_Registration,Age,Live_Add,Engine_Size,ABS,Adjustable_Seat,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Cooling,Country_of_Origin,Drive_Type,Engine_Config,Engine_Type,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Suspension,Gear_Change_Method,Gear_Type,Ignition,Last_Modified,Last_Seen,Learner_Approved,Linked_Braking_System,Model,Postcode,Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Suspension,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Suburb,Swingarm_Type,Traction_Control,URL,Wheel_Type,Seller,Brand,Sold
97.0,11.0,2.0,4.0,12.0,320.0,120.0,20.0,6.0,137.33805128205128,1125.6576243321003,53000.0,2035.0,134.0,12014.0,5500,26.08170707070712,220.0,130.0,95.0,2.0,67.5,57.0,97.0,4.0,202.0,1418.0,730.0,0,0,18,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,Liquid_&_Fan,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Upside_Down,Left_foot_lever,Manual,Digital_Electronic,2019-05-07,2019-07-19,No,No,RSV1000_Mille,4213,Double_Piston,Disc,Shock,Forward,Standard,No,Electric,QLD,Mudgeeraba,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2001-aprilia-rsv1000-mille/SSE-AD-5782513/?Cr=0,Spoke,Private,Aprilia,For Sale
79.685,12.0,2.0,4.0,12.0,309.3540396881644,120.0,17.7,6.0,137.33805128205128,1125.6576243321003,46000.0,2035.0,134.0,12014.0,6400,26.08170707070712,226.84255434782608,130.0,95.0,2.0,56.03,39.22858171346292,97.0,4.0,202.0,1422.0,953.836,0,0,19,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid_&_Fan,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Hydraulic,Left_foot_lever,Manual,CDI_(Capacitive_Discharge_Ignition),2019-06-06,2019-07-19,No,No,RSV1000_Mille,3763,Single_Piston,Hydraulic,Hydraulic,Forward,Standard,No,Electric,VIC,Kinglake,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000-mille/SSE-AD-5450047/?Cr=1,Spoke,Private,Aprilia,For Sale
79.685,12.0,2.0,4.0,12.0,309.3540396881644,120.0,17.7,6.0,137.33805128205128,1125.6576243321003,45300.0,2035.0,134.0,12014.0,7500,26.08170707070712,226.84255434782608,130.0,95.0,2.0,56.03,39.22858171346292,97.0,4.0,202.0,1422.0,953.836,0,5,19,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,Liquid_&_Fan,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Hydraulic,Left_foot_lever,Manual,CDI_(Capacitive_Discharge_Ignition),2019-06-07,2019-07-19,No,No,RSV1000_Mille,2060,Single_Piston,Hydraulic,Hydraulic,Forward,Standard,No,Electric,NSW,Lavender_bay,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000-mille/SSE-AD-5895587/?Cr=2,Spoke,Private,Aprilia,For Sale
97.0,12.0,2.0,4.0,12.0,309.3540396881644,120.0,17.7,6.0,137.33805128205128,1125.6576243321003,35695.0,2055.1309290474323,134.0,12014.0,6500,26.08170707070712,226.84255434782608,130.0,95.0,2.0,67.5,57.0,97.0,4.0,202.0,1416.0,953.836,0,0,14,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,Liquid,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Upside_Down,Left_foot_lever,Manual,CDI_(Capacitive_Discharge_Ignition),2019-06-16,2019-07-19,No,No,RSV1000R,6022,Single_Piston,Hydraulic,Shock,Forward,Standard,No,Electric,WA,Hamersley,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2005-aprilia-rsv1000r/SSE-AD-5051516/?Cr=0,Spoke,Private,Aprilia,For Sale
97.0,12.0,2.0,4.0,12.0,309.3540396881644,120.0,17.7,6.0,137.33805128205128,1125.6576243321003,29228.0,2055.1309290474323,134.0,12014.0,6600,26.08170707070712,226.84255434782608,130.0,95.0,2.0,67.5,57.0,97.0,4.0,202.0,1416.0,953.836,0,0,14,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Upside_Down,Left_foot_lever,Manual,CDI_(Capacitive_Discharge_Ignition),2019-06-02,2019-07-19,No,No,RSV1000R,2234,Single_Piston,Hydraulic,Shock,Forward,Standard,No,Electric,NSW,Illawong,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2005-aprilia-rsv1000r/SSE-AD-5679002/?Cr=1,Spoke,Private,Aprilia,For Sale
97.0,11.0,2.0,4.0,12.0,320.0,120.0,20.0,6.0,137.33805128205128,1145.0,44044.0,2035.0,134.0,12014.0,7990,25.0,220.0,135.0,95.0,2.0,67.5,57.0,102.0,4.0,202.0,1418.0,730.0,0,0,19,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,yellow,Liquid,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Upside_Down,Hand_shift_lever,Manual,Digital_Electronic,2019-07-19,2019-07-19,No,No,RSV1000R_Mille,0,Double_Piston,Hydraulic,Shock,Forward,Standard,No,Electric,NSW,none,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000r-mille/OAG-AD-16937303/?Cr=0,Spoke,Dealer,Aprilia,For Sale
97.0,11.0,2.0,4.0,12.0,320.0,120.0,20.0,6.0,137.33805128205128,1145.0,8620.0,2035.0,134.0,12014.0,12900,25.0,220.0,135.0,95.0,2.0,67.5,57.0,102.0,4.0,202.0,1418.0,730.0,0,0,19,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V-Twin,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Upside_Down,Hand_shift_lever,Manual,Digital_Electronic,2019-05-25,2019-07-19,No,No,RSV1000R_Mille,4802,Double_Piston,Hydraulic,Shock,Forward,Standard,No,Electric,QLD,Airlie_beach,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000r-mille/SSE-AD-3129115/?Cr=1,Spoke,Private,Aprilia,For Sale
78.0,12.0,4.0,4.0,12.0,320.0,120.0,17.0,6.0,130.0,1120.0,51159.0,2040.0,132.0,12500.0,8990,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,205.0,1250.0,735.0,117,0,10,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,Upside_Down,Left_foot_lever,Manual,Digital_Electronic,2019-07-19,2019-07-19,No,No,RSV4_Factory,0,Double_Piston,Hydraulic,Hydraulic,Forward,Standard,No,Electric,QLD,none,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2009-aprilia-rsv4-factory-my10/OAG-AD-17037245/?Cr=1,Spoke,Dealer,Aprilia,For Sale
78.0,12.0,4.0,4.0,12.0,320.0,120.0,17.0,6.0,130.0,1120.0,10930.0,2040.0,132.0,12500.0,12790,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,205.0,1250.0,735.0,117,0,10,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,Upside_Down,Left_foot_lever,Manual,Digital_Electronic,2019-07-19,2019-07-19,No,No,RSV4_Factory,0,Double_Piston,Hydraulic,Hydraulic,Forward,Standard,No,Electric,WA,none,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2009-aprilia-rsv4-factory-my10/OAG-AD-16741744/?Cr=2,Spoke,Dealer,Aprilia,For Sale
78.0,12.0,4.0,4.0,12.0,320.0,120.0,17.0,6.0,130.0,1120.0,10693.0,2040.0,132.0,12500.0,13990,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,205.0,1250.0,735.0,117,0,10,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,Upside_Down,Left_foot_lever,Manual,Digital_Electronic,2019-07-19,2019-07-19,No,No,RSV4_Factory,0,Double_Piston,Hydraulic,Hydraulic,Forward,Standard,No,Electric,QLD,none,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2009-aprilia-rsv4-factory-my10/OAG-AD-17018387/?Cr=4,Spoke,Dealer,Aprilia,For Sale
